Roary,Name,HG003ProkkaGene,HG003ProkkaTag,HG003ProkkaStart,HG003ProkkaStop,HG003NewTag,HG003NewStart,HG003NewStop,HG003Description,USA300ProkkaGene,USA300ProkkaTag,USA300ProkkaStart,USA300ProkkaStop,USA300NewTag,USA300NewStart,USA300NewStop,USA300OldTag,USA300OldStart,USA300OldStop,USA300Description,MW2ProkkaGene,MW2ProkkaTag,MW2ProkkaStart,MW2ProkkaStop,MW2NewTag,MW2NewStart,MW2NewStop,MW2OldTag,MW2OldStart,MW2OldStop,MW2Description,MSSA476ProkkaGene,MSSA476ProkkaTag,MSSA476ProkkaStart,MSSA476ProkkaStop,MSSA476NewTag,MSSA476NewStart,MSSA476NewStop,MSSA476OldTag,MSSA476OldStart,MSSA476OldStop,MSSA476Description,MRSA252ProkkaGene,MRSA252ProkkaTag,MRSA252ProkkaStart,MRSA252ProkkaStop,MRSA252NewTag,MRSA252NewStart,MRSA252NewStop,MRSA252OldTag,MRSA252OldStart,MRSA252OldStop,MRSA252Description
knt,aadD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knt,MRSA252_00034,40786,41529,SAR_RS00170,40786,41556,SAR0033,40786,41556,Kanamycin nucleotidyltransferase
cycA_1,aapA,cycA_1,HG003_01580,1704280,1705641,SAOUHSC_01803,1704280,1705641,D-serine/D-alanine/glycine transporter,cycA_1,USA300_01682,1801667,1803028,USA300HOU_RS08990,1801667,1803028,USA300HOU_1683,1801667,1803028,D-serine/D-alanine/glycine transporter,cycA_1,MW2_01628,1771567,1772928,MW_RS08750,1771567,1772928,MW1640,1771567,1772928,D-serine/D-alanine/glycine transporter,cycA_1,A476_01605,1751220,1752581,SAS_RS08625,1751220,1752581,SAS1624,1751220,1752581,D-serine/D-alanine/glycine transporter,cycA_1,MRSA252_01725,1843188,1844549,SAR_RS09085,1843188,1844549,SAR1775,1843188,1844549,D-serine/D-alanine/glycine transporter
cycA_2,aapA_2,cycA_2,HG003_02420,2509280,2510689,SAOUHSC_02729,2509280,2510689,D-serine/D-alanine/glycine transporter,cycA_2,USA300_02445,2562326,2563735,USA300HOU_RS13205,2562326,2563735,USA300HOU_2424,2562326,2563735,D-serine/D-alanine/glycine transporter,cycA_2,MW2_02357,2511502,2512911,MW_RS12800,2511502,2512911,MW2362,2511502,2512911,D-serine/D-alanine/glycine transporter,cycA_2,A476_02336,2490670,2492079,SAS_RS12665,2490670,2492079,SAS2330,2490670,2492079,D-serine/D-alanine/glycine transporter,cycA_2,MRSA252_02499,2603209,2604618,SAR_RS13245,2603209,2604618,SAR2528,2603209,2604618,D-serine/D-alanine/glycine transporter
bmrA,abcA,bmrA,HG003_00565,636246,637973,SAOUHSC_00647,636246,637973,Multidrug resistance ABC transporter ATP-binding/permease protein BmrA,bmrA,USA300_00654,717075,718802,USA300HOU_RS03480,717075,718802,USA300HOU_0663,717075,718802,Multidrug resistance ABC transporter ATP-binding/permease protein BmrA,bmrA,MW2_00608,687758,689485,MW_RS03295,687758,689485,MW0605,687758,689485,Multidrug resistance ABC transporter ATP-binding/permease protein BmrA,bmrA,A476_00604,686257,687984,SAS_RS03265,686257,687984,SAS0609,686257,687984,Multidrug resistance ABC transporter ATP-binding/permease protein BmrA,bmrA,MRSA252_00636,699454,701181,SAR_RS03350,699454,701181,SAR0653,699454,701181,Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
abgT,abgT,abgT,HG003_02454,2550088,2551626,SAOUHSC_02773,2550088,2551626,p-aminobenzoyl-glutamate transport protein,abgT,USA300_02479,2603134,2604672,USA300HOU_RS13405,2603134,2604672,USA300HOU_2464,2603134,2604672,p-aminobenzoyl-glutamate transport protein,abgT,MW2_02391,2552032,2553570,MW_RS13000,2552032,2553570,MW2397,2552032,2553570,p-aminobenzoyl-glutamate transport protein,abgT,A476_02370,2531324,2532862,SAS_RS12865,2531324,2532862,SAS2364,2531324,2532862,p-aminobenzoyl-glutamate transport protein,abgT,MRSA252_02531,2642910,2644448,SAR_RS13430,2642910,2644448,SAR2560,2642910,2644448,p-aminobenzoyl-glutamate transport protein
accA,accA,accA,HG003_01585,1710982,1711926,SAOUHSC_01808,1710982,1711926,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,accA,USA300_01687,1808369,1809313,USA300HOU_RS09015,1808369,1809313,USA300HOU_1686,1808369,1809313,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,accA,MW2_01631,1776292,1777236,MW_RS08765,1776292,1777236,MW1643,1776292,1777236,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,accA,A476_01608,1755945,1756889,SAS_RS08640,1755945,1756889,SAS1627,1755945,1756889,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,accA,MRSA252_01728,1847912,1848856,SAR_RS09100,1847912,1848856,SAR1778,1847912,1848856,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
accB_1,accB_1,accB_1,HG003_01423,1546683,1547147,SAOUHSC_01624,1546683,1547147,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,accB_1,USA300_01528,1644070,1644534,USA300HOU_RS08160,1644070,1644534,USA300HOU_1529,1644070,1644534,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,accB_1,MW2_01473,1613110,1613574,MW_RS07920,1613110,1613574,MW1480,1613110,1613574,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,accB_1,A476_01451,1592868,1593332,SAS_RS07795,1592868,1593332,SAS1466,1592868,1593332,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,accB_1,MRSA252_01563,1678314,1678778,SAR_RS08220,1678314,1678778,SAR1605,1678314,1678778,Biotin carboxyl carrier protein of acetyl-CoA carboxylase
accB_2,accB_2,accB_2,HG003_01500,1617414,1617863,SAOUHSC_01710,1617414,1617863,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,accB_2,USA300_01604,1714801,1715250,USA300HOU_RS08560,1714801,1715250,USA300HOU_1607,1714801,1715250,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,accB_2,MW2_01549,1684259,1684708,MW_RS08315,1684259,1684708,MW1557,1684259,1684708,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,accB_2,A476_01527,1663911,1664360,SAS_RS08190,1663911,1664360,SAS1543,1663911,1664360,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,accB_2,MRSA252_01641,1749144,1749593,SAR_RS08625,1749144,1749593,SAR1686,1749144,1749593,Biotin carboxyl carrier protein of acetyl-CoA carboxylase
cfiB_2,accC_1,cfiB_2,HG003_01422,1545328,1546683,SAOUHSC_01623,1545328,1546683,2-oxoglutarate carboxylase small subunit,cfiB_2,USA300_01527,1642715,1644070,USA300HOU_RS08155,1642715,1644070,USA300HOU_1528,1642715,1644070,2-oxoglutarate carboxylase small subunit,cfiB_2,MW2_01472,1611755,1613110,MW_RS07915,1611755,1613110,MW1479,1611755,1613110,2-oxoglutarate carboxylase small subunit,cfiB_2,A476_01450,1591513,1592868,SAS_RS07790,1591513,1592868,SAS1465,1591513,1592868,2-oxoglutarate carboxylase small subunit,cfiB_2,MRSA252_01562,1676959,1678314,SAR_RS08215,1676959,1678314,SAR1604,1676959,1678314,2-oxoglutarate carboxylase small subunit
accC,accC_2,accC,HG003_01499,1616039,1617400,SAOUHSC_01709,1616039,1617400,Biotin carboxylase,accC,USA300_01603,1713426,1714787,USA300HOU_RS08555,1713426,1714787,USA300HOU_1606,1713426,1714787,Biotin carboxylase,accC,MW2_01548,1682884,1684245,MW_RS08310,1682884,1684245,MW1556,1682884,1684245,Biotin carboxylase,accC,A476_01526,1662536,1663897,SAS_RS08185,1662536,1663897,SAS1542,1662536,1663897,Biotin carboxylase,accC,MRSA252_01640,1747769,1749130,SAR_RS08620,1747769,1749130,SAR1685,1747769,1749130,Biotin carboxylase
