Reference	Position	Locus	Gene	PlusCount	MinusCount	TotalCount	Product	ProteinID	Note	Sequence
NC_007795.1	1278355			159	0	159				
NC_007795.1	2393637			0	31	31				
NC_007795.1	1823705			52	0	52				
NC_007795.1	1998813			0	307	307				
NC_007795.1	1255331			3	0	3				
NC_007795.1	1982156			0	38	38				
NC_007795.1	602460			0	13	13				
NC_007795.1	14208			906	0	906				
NC_007795.1	572142			14	0	14				
NC_007795.1	2412980			12	0	12				
NC_007795.1	2275455			117	0	117				
NC_007795.1	1463912			54	0	54				
NC_007795.1	1575488			0	17	17				
NC_007795.1	609648			0	27	27				
NC_007795.1	1556390			0	4	4				
NC_007795.1	1183828			59	0	59				
NC_007795.1	1466803			0	11	11				
NC_007795.1	1224906			0	310	310				
NC_007795.1	953647			0	143	143				
NC_007795.1	2013148			0	7	7				
NC_007795.1	891717			0	1	1				
NC_007795.1	27649			0	194	194				
NC_007795.1	2187974			0	24	24				
NC_007795.1	1928994			0	3	3				
NC_007795.1	997752			0	2	2				
NC_007795.1	2423983			8	0	8				
NC_007795.1	1046046			0	15	15				
NC_007795.1	102903			0	18	18				
NC_007795.1	788388			31	0	31				
NC_007795.1	1525282			0	10	10				
NC_007795.1	1921891			3	0	3				
NC_007795.1	2387431			0	11	11				
NC_007795.1	2520878			75	0	75				
NC_007795.1	1538074			0	190	190				
NC_007795.1	1873207			0	4	4				
NC_007795.1	1084479			0	32	32				
NC_007795.1	1008253			0	14	14				
NC_007795.1	521027			0	20	20				
NC_007795.1	2266586			42	0	42				
NC_007795.1	2629814			0	25	25				
NC_007795.1	2359835			0	41	41				
NC_007795.1	1159689			0	8	8				
NC_007795.1	2748810			0	2	2				
NC_007795.1	1057361			0	25	25				
NC_007795.1	759240			0	2	2				
NC_007795.1	564967			0	1	1				
NC_007795.1	1611162			0	4	4				
NC_007795.1	2776805			0	3	3				
NC_007795.1	1737737			16	0	16				
NC_007795.1	1140147			0	18	18				
NC_007795.1	2089426			0	4	4				
NC_007795.1	1824054			0	14	14				
NC_007795.1	955052			0	8	8				
NC_007795.1	359764			0	9	9				
NC_007795.1	521259			0	6	6				
NC_007795.1	1912015			0	1	1				
NC_007795.1	1761097			0	7	7				
NC_007795.1	1754401			0	19	19				
NC_007795.1	1625259			0	5	5				
NC_007795.1	1310313			0	11	11				
NC_007795.1	1972404			0	7	7				
NC_007795.1	2742736			4	0	4				
NC_007795.1	1366682			0	7	7				
NC_007795.1	1862514			0	7	7				
NC_007795.1	1793686			0	2	2				
